;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
159;CHEMBL599448;nM;12.0;NC1(CCN(CC1)c2ccnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4;7.920818753952375;383.151288004;4;3;2.830400000000001;yes
160;CHEMBL593490;nM;12.0;Cc1[nH]nc2ccc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6;7.920818753952375;463.20082504000004;5;3;5.623420000000004;yes
161;CHEMBL260577;nM;12.0;NC(C1CCN(CC1)c2ccnc3[nH]ccc23)c4ccc(Cl)cc4;7.920818753952375;340.145474352;3;2;4.1327000000000025;yes
162;CHEMBL598013;nM;12.0;NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ccnc4[nH]ncc34;7.920818753952375;341.14072332000006;4;2;3.1517000000000017;yes
164;CHEMBL469590;nM;13.0;NCC(Cc1ccccc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34;7.886056647693162;454.0462943280001;4;3;4.353700000000003;yes
165;CHEMBL3703110;nM;13.0;Cn1cncc1c2ccn3c(c4ccccc4)c(nc3c2)c5ccc(cc5)C6(N)CCC6;7.886056647693162;419.21099580000003;5;1;5.406700000000005;yes
166;CHEMBL595459;nM;13.0;Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cc6c(C)n[nH]c6cn5;7.886056647693162;493.2226231040001;7;4;4.909040000000003;yes
167;CHEMBL521642;nM;13.0;CCn1c(nc2c(ncc(OC[C@@H]3CCCNC3)c12)C#CC(C)(C)O)c4nonc4N;7.886056647693162;425.21753772400007;10;3;1.5841999999999996;yes
168;CHEMBL494088;nM;13.0;CCn1c(nc2c(ncc(OCC3CCNC3)c12)C#CC(C)(C)O)c4nonc4N;7.886056647693162;411.20188766000007;10;3;1.1940999999999997;yes
169;CHEMBL494089;nM;13.0;CCn1c(nc2c(ncc(OC[C@H]3CCCNC3)c12)C#CC(C)(C)O)c4nonc4N;7.886056647693162;425.21753772400007;10;3;1.5841999999999996;yes
170;CHEMBL3699674;nM;13.0;NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)n6cccn6;7.886056647693162;405.1953457360001;5;1;5.191900000000005;yes
171;CHEMBL2325729;nM;13.0;NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCN4CCCCC4)c5ccc(Cl)cc5;7.886056647693162;495.25133638799997;6;3;3.6425000000000027;yes
172;CHEMBL3931748;nM;14.0;COc1nc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)C(=O)N;7.853871964321763;413.18517497600004;6;2;3.508700000000001;yes
173;CHEMBL2177381;nM;14.0;CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](F)C[C@@H](C)c23)c4ccc(Cl)cc4;7.853871964321763;459.220116512;5;1;4.0782000000000025;yes
174;CHEMBL3672090;nM;14.0;COC(=O)c1cn2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4;7.853871964321763;556.233522136;9;1;4.937820000000004;yes
175;CHEMBL228749;nM;14.0;NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)C(=O)NCCc4cnc[nH]4)\c2c1;7.853871964321763;405.15493746800007;4;6;1.6935999999999996;yes
178;CHEMBL2325992;nM;14.0;CN(C)CCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4;7.853871964321763;455.22003626000003;6;3;2.7182000000000013;yes
179;CHEMBL597183;nM;14.0;NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(F)cc4;7.853871964321763;368.176087512;5;3;1.7110999999999994;yes
180;CHEMBL593374;nM;15.0;Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5ccc6[nH]nc(C)c6c5;7.823908740944319;492.22737413600004;6;4;5.514040000000003;yes
181;CHEMBL3699757;nM;15.0;Cc1c(Cl)cn2c(c3ccccc3)c(nc2c1Br)c4ccc(cc4)C5(N)CCC5;7.823908740944319;465.06073745200007;3;1;6.730520000000004;yes
182;CHEMBL2177366;nM;15.0;C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCOCC4)c5ccc(Cl)cc5)c12;7.823908740944319;499.235017628;7;2;2.8716000000000017;yes
183;CHEMBL597819;nM;15.0;COc1cccc(CC2(N)CCN(CC2)c3ncnc4[nH]ccc34)c1;7.823908740944319;337.190260356;5;2;2.5069;yes
184;CHEMBL593375;nM;15.0;Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6c5;7.823908740944319;493.2226231040001;7;4;4.909040000000003;yes
186;CHEMBL594072;nM;15.0;Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c([nH]c4ccccc34)C(=O)N)cc2c5cnc6[nH]nc(C)c6n5;7.823908740944319;537.2236857240001;9;5;3.402940000000001;yes
187;CHEMBL2325993;nM;15.0;CN(C)CCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4;7.823908740944319;469.235686324;6;3;3.1083000000000007;yes
189;CHEMBL260358;nM;16.0;NCC1(CCN(CC1)c2ncnc3[nH]cnc23)c4ccc(Cl)cc4;7.795880017344076;342.135972288;5;2;2.5032000000000005;yes
190;CHEMBL604917;nM;16.0;NC1(Cc2cc(Cl)ccc2Cl)CCN(CC1)c3ncnc4[nH]ccc34;7.795880017344076;375.1017509680001;4;2;3.805100000000002;yes
192;CHEMBL1098316;nM;16.0;CCn1c(nc2c(nc(CNC)cc12)C#CC(C)(C)O)c3nonc3N;7.795880017344076;355.1756729120001;9;3;0.9251999999999998;yes
193;CHEMBL1099297;nM;16.0;CCn1c(nc2c(nc(O[C@@H](CCN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N;7.795880017344076;461.21753772400007;10;3;2.674700000000001;yes
196;CHEMBL3672045;nM;17.0;Cc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(c(C)n2n1)c7ccccc7;7.769551078621726;513.238941864;8;1;4.854640000000004;yes
199;CHEMBL3672091;nM;17.0;COC(=O)c1cn2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4;7.769551078621726;542.2178720720001;9;1;4.629400000000003;yes
200;CHEMBL228750;nM;17.0;NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)C(=O)NCCc4ccncc4)\c2c1;7.769551078621726;416.1596885;4;5;2.3655;yes
201;CHEMBL3699728;nM;17.0;COc1cc(Br)cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5;7.769551078621726;447.0946244240001;4;1;5.777300000000005;yes
202;CHEMBL2177377;nM;17.0;COCCNC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4;7.769551078621726;473.219367564;7;2;2.3390000000000004;yes
203;CHEMBL2177372;nM;17.0;CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)c(F)c4;7.769551078621726;475.215031132;6;2;3.2401000000000018;yes
204;CHEMBL603680;nM;18.0;NC1(Cc2ccc(Cl)c(Cl)c2)CCN(CC1)c3ncnc4[nH]ccc34;7.744727494896693;375.1017509680001;4;2;3.805100000000002;yes
206;CHEMBL2177390;nM;18.0;CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4;7.744727494896693;457.22445294399995;6;2;3.1010000000000018;yes
208;CHEMBL2177364;nM;18.0;C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCCCC4)c5ccc(Cl)cc5)c12;7.744727494896693;497.255753072;6;2;4.025300000000003;yes
210;CHEMBL597818;nM;19.0;NC1(Cc2cccc(OC(F)(F)F)c2)CCN(CC1)c3ncnc4[nH]ccc34;7.721246399047171;391.16199492000004;5;2;3.3969000000000014;yes
212;CHEMBL595944;nM;19.0;Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5;7.721246399047171;494.2178720720001;8;4;4.304040000000001;yes
213;CHEMBL442227;nM;19.0;COc1cccc(c1)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2;7.721246399047171;374.137890436;3;4;3.6736000000000004;yes
214;CHEMBL3703106;nM;19.0;NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6ccccn6;7.721246399047171;416.20009676800004;4;1;6.068200000000005;yes
215;CHEMBL2325743;nM;20.0;C[C@H](NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4;7.698970004336019;398.162187036;5;3;2.7864000000000013;yes
216;CHEMBL597415;nM;20.0;NC1(Cc2c(Cl)cccc2Cl)CCN(CC1)c3ncnc4[nH]ccc34;7.698970004336019;375.1017509680001;4;2;3.805100000000002;yes
217;CHEMBL228133;nM;20.0;Clc1ccc(cc1)C2(CCNCC2)c3ccc(cc3)c4ncnc5[nH]cnc45;7.698970004336019;389.1407233200001;4;2;4.342800000000002;yes
218;CHEMBL442229;nM;20.0;NC(=O)Nc1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1;7.698970004336019;268.096025624;2;4;1.9980000000000002;yes
219;CHEMBL453510;nM;20.0;CCn1c(nc2c(ncc(OCCN)c12)C#CC(C)(C)O)c3nonc3N;7.698970004336019;371.17058753200007;10;3;0.5433000000000001;yes
220;CHEMBL574646;nM;20.0;O=C1\C(=C\c2ccccn2)\CNC/C/1=C\c3ccccn3;7.698970004336019;277.1215121;4;1;2.1159;yes
221;CHEMBL1096634;nM;20.0;CCn1c(nc2c(nc(OC[C@H](N)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N;7.698970004336019;447.20188766000007;10;3;2.2845999999999997;yes
222;CHEMBL1096626;nM;20.0;CCn1c(nc2c(nc(OC[C@@H](N)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N;7.698970004336019;447.20188766000007;10;3;2.2845999999999997;yes
223;CHEMBL1098939;nM;20.0;CCn1c(nc2c(nc(OC[C@@H](N)Cc3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N;7.698970004336019;461.21753772400007;10;3;2.1546;yes
224;CHEMBL3672048;nM;21.0;CNc1c(c2ccccc2)c(nc3nc(C)nn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4;7.67778070526608;542.2654909600002;9;2;4.896340000000004;yes
226;CHEMBL228751;nM;21.0;NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)c4ccccc4)\c2c1;7.67778070526608;344.127325752;2;4;3.665000000000002;yes
227;CHEMBL210390;nM;21.0;N[C@H](COc1cncc(c1)c2ccc3cnc(N)cc3c2)Cc4c[nH]c5ccccc45;7.67778070526608;409.19026035600007;5;3;4.309100000000003;yes
228;CHEMBL3703109;nM;22.0;NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cnc[nH]6;7.657577319177793;405.1953457360001;4;2;5.3963000000000045;yes
229;CHEMBL2177369;nM;22.0;C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]4CCCCN4)c5ccc(Cl)cc5)c12;7.657577319177793;469.224452944;6;2;3.2451000000000016;yes
230;CHEMBL3699700;nM;22.0;NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cn[nH]c6;7.657577319177793;405.1953457360001;4;2;5.3963000000000045;yes
231;CHEMBL2325738;nM;22.0;NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCO)c4ccc(Cl)cc4;7.657577319177793;428.17275171999995;6;4;2.1489000000000003;yes
232;CHEMBL3703112;nM;22.0;CCOC(=O)c1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5;7.657577319177793;411.19467704000004;5;1;5.1829000000000045;yes
233;CHEMBL3672497;nM;22.0;NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6ccc7cn[nH]c7c6;7.657577319177793;456.20624476800003;5;2;5.944500000000004;yes
234;CHEMBL3703107;nM;23.0;NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cc[nH]n6;7.638272163982407;405.1953457360001;4;2;5.3963000000000045;yes
236;CHEMBL2325982;nM;23.0;CCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4;7.638272163982407;412.1778371;5;3;3.1765000000000017;yes
237;CHEMBL213618;nM;23.0;CNc1nccc(n1)c2ccc(s2)C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl;7.638272163982407;435.06873658800004;6;3;3.8534000000000015;yes
238;CHEMBL2177362;nM;24.0;C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCOCC4)c5ccc(Cl)c(F)c5)c12;7.619788758288393;517.225595816;7;2;3.0107000000000017;yes
239;CHEMBL2325739;nM;24.0;NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCO)c4ccc(Cl)cc4;7.619788758288393;442.18840178399995;6;4;2.5390000000000006;yes
240;CHEMBL3679629;nM;24.0;NC(=N)N1C(=N)C=Cc2nc(c3ccc(cc3)C4(N)CCC4)c(cc12)c5ccccc5;7.619788758288393;408.206244768;5;4;3.929240000000002;yes
242;CHEMBL3699768;nM;24.0;NC(=O)c1cc(Br)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1;7.619788758288393;460.0898733920001;4;2;4.867600000000003;yes
243;CHEMBL596583;nM;25.0;Cc1occc1c2ncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5;7.602059991327962;479.2069730400001;7;3;4.721840000000002;yes
244;CHEMBL470598;nM;25.0;NC[C@H](CC1CCCCC1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34;7.602059991327962;460.0932445200001;4;3;5.081400000000004;yes
246;CHEMBL259999;nM;25.0;NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]cnc34;7.602059991327962;342.13597228800006;5;2;2.5467000000000004;yes
247;CHEMBL405384;nM;25.0;NC(C1CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4;7.602059991327962;341.14072331999995;4;2;3.527700000000001;yes
248;CHEMBL1095624;nM;25.0;CCn1c(nc2c(nc(CCN)cc12)C#CC(C)(C)O)c3nonc3N;7.602059991327962;355.1756729120001;9;3;0.7070000000000001;yes
249;CHEMBL2177829;nM;25.0;Nc1ncccc1c2nc3ccc(nc3n2c4ccc(CC(=O)Nc5ccccc5)cc4)c6cccnc6;7.602059991327962;497.196408356;7;2;5.307900000000004;yes
250;CHEMBL260463;nM;25.0;NCC1(CCN(CC1)c2ccnc3[nH]ccc23)c4ccc(Cl)cc4;7.602059991327962;340.145474352;3;2;3.7132000000000023;yes
251;CHEMBL1099276;nM;25.0;CCn1c(nc2c(nc(O[C@@H](CN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N;7.602059991327962;447.20188766000007;10;3;2.2845999999999997;yes
