,ChEMBL_ID,smiles,pIC50
146,CHEMBL3672048,CNc1c(c2ccccc2)c(nc3nc(C)nn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4,7.67778070526608
147,CHEMBL210390,N[C@H](COc1cncc(c1)c2ccc3cnc(N)cc3c2)Cc4c[nH]c5ccccc45,7.67778070526608
148,CHEMBL3703109,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cnc[nH]6,7.657577319177793
149,CHEMBL2177369,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]4CCCCN4)c5ccc(Cl)cc5)c12,7.657577319177793
150,CHEMBL3699700,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cn[nH]c6,7.657577319177793
151,CHEMBL2325738,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCO)c4ccc(Cl)cc4,7.657577319177793
152,CHEMBL3703112,CCOC(=O)c1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5,7.657577319177793
153,CHEMBL3672497,NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6ccc7cn[nH]c7c6,7.657577319177793
154,CHEMBL3703107,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cc[nH]n6,7.638272163982407
155,CHEMBL2325982,CCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,7.638272163982407
156,CHEMBL213618,CNc1nccc(n1)c2ccc(s2)C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl,7.638272163982407
157,CHEMBL2177362,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCOCC4)c5ccc(Cl)c(F)c5)c12,7.619788758288393
158,CHEMBL2325739,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCO)c4ccc(Cl)cc4,7.619788758288393
159,CHEMBL3699768,NC(=O)c1cc(Br)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1,7.619788758288393
160,CHEMBL596583,Cc1occc1c2ncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5,7.6020599913279625
161,CHEMBL470598,NC[C@H](CC1CCCCC1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,7.6020599913279625
162,CHEMBL259999,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]cnc34,7.6020599913279625
163,CHEMBL405384,NC(C1CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,7.6020599913279625
164,CHEMBL2177829,Nc1ncccc1c2nc3ccc(nc3n2c4ccc(CC(=O)Nc5ccccc5)cc4)c6cccnc6,7.6020599913279625
165,CHEMBL260463,NCC1(CCN(CC1)c2ccnc3[nH]ccc23)c4ccc(Cl)cc4,7.6020599913279625
166,CHEMBL597803,CN(Cc1ccc(Cl)cc1)C(=O)C2(N)CCN(CC2)c3ncnc4[nH]ccc34,7.6020599913279625
167,CHEMBL598448,NC1(Cc2cccc3ccccc23)CCN(CC1)c4ncnc5[nH]ccc45,7.6020599913279625
168,CHEMBL597211,CC(C)(C)c1ccc(CC2(N)CCN(CC2)c3ncnc4[nH]ccc34)cc1,7.568636235841013
169,CHEMBL3703157,NC(=O)c1cc(Cl)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1,7.552841968657781
170,CHEMBL599848,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(OC(F)(F)F)cc4,7.5376020021010435
171,CHEMBL2177370,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]4COCCN4)c5ccc(Cl)cc5)c12,7.5376020021010435
172,CHEMBL3703113,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)C(=O)O,7.5376020021010435
173,CHEMBL379300,Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3,7.522878745280337
174,CHEMBL2325996,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCCCC4)c5ccc(Cl)cc5,7.522878745280337
175,CHEMBL2177831,Nc1ncccc1c2nc3cc(cnc3n2c4ccc(CNC(=O)c5ccccc5)cc4)c6cccnc6,7.522878745280337
176,CHEMBL2177371,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CN)c4ccc(cc4)C(F)(F)F)c12,7.522878745280337
177,CHEMBL3703169,COc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)c6cn[nH]c6,7.522878745280337
178,CHEMBL2325983,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(C4CC4)c5ccc(Cl)cc5,7.522878745280337
179,CHEMBL2177365,CC(C)N(C)C[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4,7.508638306165728
180,CHEMBL603262,CC(C)(C)c1ccc(CC2(N)CCN(CC2)c3ccnc4[nH]ccc34)cc1,7.508638306165728
181,CHEMBL2325728,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCN4CCCC4)c5ccc(Cl)cc5,7.508638306165728
182,CHEMBL603197,Cc1n[nH]c2cnc(nc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6,7.508638306165728
